"NOME_PROFISSIONAL";"OCUPACAO";"ESTABELECIMENTO_CNPJ"
"FABIO AKIRA UESU";"MEDICO PSIQUIATRA";"UMS SABARA PSF - CNPJ: 13792329000184"
"LUIZ FREDERICO DE MELLO";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SABARA PSF - CNPJ: 13792329000184"
"MARIA JOSE GRILLO CABRAL";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SABARA PSF - CNPJ: 13792329000184"
"MARINA CORTES DEL GROSSI";"MEDICO PEDIATRA";"UMS SABARA PSF - CNPJ: 13792329000184"
"NOLIN ALFONSO CRUZ";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SABARA PSF - CNPJ: 13792329000184"
"ODALYS COLUMBIE PAREDES";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SABARA PSF - CNPJ: 13792329000184"
"PATRICIA EDUARDA BISELLI";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SABARA PSF - CNPJ: 13792329000184"
"VANESSA CINI";"MEDICO CLINICO";"UMS SABARA PSF - CNPJ: 13792329000184"
"ALEXEI VOLACO";"MEDICO CLINICO";"UMS SALGADO FILHO - CNPJ: 13792329000184"
"ANA MARIA PONTES DE SOUZA BATISTA";"MEDICO PEDIATRA";"UMS SALGADO FILHO - CNPJ: 13792329000184"
"ANA MARIA TULESKI";"MEDICO CLINICO";"UMS SALGADO FILHO - CNPJ: 13792329000184"
"ANA PAULA ROLIM";"MEDICO PEDIATRA";"UMS SALGADO FILHO - CNPJ: 13792329000184"
"BRUNA PAOLA FERREIRA DE SOUSA ITIBERE CUNHA BOTNAR";"MEDICO CLINICO";"UMS SALGADO FILHO - CNPJ: 13792329000184"
"CAROLINA IGNEZ MAIER GUEDES";"MEDICO CLINICO";"UMS SALGADO FILHO - CNPJ: 13792329000184"
"FABIO AKIRA UESU";"MEDICO PSIQUIATRA";"UMS SALGADO FILHO - CNPJ: 13792329000184"
"FRANCISCO NATEL DE CAMARGO NETO";"MEDICO CLINICO";"UMS SALGADO FILHO - CNPJ: 13792329000184"
"JASMINE VALERIA VIEIRA";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SALGADO FILHO - CNPJ: 13792329000184"
"JOAO GUILHERME FIORANI BORGIO";"MEDICO PSIQUIATRA";"UMS SALGADO FILHO - CNPJ: 13792329000184"
"LETICIA NOGUEIRA LELIS";"MEDICO CLINICO";"UMS SALGADO FILHO - CNPJ: 13792329000184"
"LOURDES TEREZINHA PCHEBILSKI";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SALGADO FILHO - CNPJ: 13792329000184"
"MARCELO GARCIA KOLLING";"MEDICO CLINICO";"UMS SALGADO FILHO - CNPJ: 13792329000184"
"MARINA COIMBRA";"MEDICO CLINICO";"UMS SALGADO FILHO - CNPJ: 13792329000184"
"ROSILEI MARIA ANTONIEVICZ";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SALGADO FILHO - CNPJ: 13792329000184"
"SILVIA HELENA DOS SANTOS GAJARDONI FARGES";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SALGADO FILHO - CNPJ: 13792329000184"
"VINETU ENRIQUE KLUCH CERVO";"MEDICO CLINICO";"UMS SALGADO FILHO - CNPJ: 13792329000184"
"ALBANIR LAIER BORDIGNON";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SALVADOR ALLENDE PSF - CNPJ: 13792329000184"
"ANDREA MONICA DVILEVICIUS";"MEDICO PSIQUIATRA";"UMS SALVADOR ALLENDE PSF - CNPJ: 13792329000184"
"ANDREA MONICA DVILEVICIUS";"MEDICO PSIQUIATRA";"UMS SALVADOR ALLENDE PSF - CNPJ: 13792329000184"
"ARIOSVALDO LUNARDON";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SALVADOR ALLENDE PSF - CNPJ: 13792329000184"
"BRUNA VOLACO GONZALEZ DE CARVALHO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SALVADOR ALLENDE PSF - CNPJ: 13792329000184"
"CELINA KAZUKO OKAMOTO ASSAHIDA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SALVADOR ALLENDE PSF - CNPJ: 13792329000184"
"DELMIS SOLER AGUILAR";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SALVADOR ALLENDE PSF - CNPJ: 13792329000184"
"EDIMARA FAIT SEEGMULLER";"MEDICO PEDIATRA";"UMS SALVADOR ALLENDE PSF - CNPJ: 13792329000184"
"EDIMARA FAIT SEEGMULLER";"MEDICO PEDIATRA";"UMS SALVADOR ALLENDE PSF - CNPJ: 13792329000184"
"EDIMARA FAIT SEEGMULLER";"MEDICO PEDIATRA";"UMS SALVADOR ALLENDE PSF - CNPJ: 13792329000184"
"LETICIA VIRGEM ALDAMA MARTINEZ";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SALVADOR ALLENDE PSF - CNPJ: 13792329000184"
"LINDA MARLY CARDENAS MORENO";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SALVADOR ALLENDE PSF - CNPJ: 13792329000184"
"LUIS ENRIQUE FALLAS SOLIS";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SALVADOR ALLENDE PSF - CNPJ: 13792329000184"
"PAULO CESAR ZIMMERMANN FELCHNER";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SALVADOR ALLENDE PSF - CNPJ: 13792329000184"
"ALBANIR LAIER BORDIGNON";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SAMBAQUI PSF - CNPJ: 13792329000184"
"ANDRE HIDEKI TAKAHASHI";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAMBAQUI PSF - CNPJ: 13792329000184"
"ANDREA MONICA DVILEVICIUS";"MEDICO PSIQUIATRA";"UMS SAMBAQUI PSF - CNPJ: 13792329000184"
"BRUNA VOLACO GONZALEZ DE CARVALHO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SAMBAQUI PSF - CNPJ: 13792329000184"
"EDIMARA FAIT SEEGMULLER";"MEDICO PEDIATRA";"UMS SAMBAQUI PSF - CNPJ: 13792329000184"
"EDIMARA FAIT SEEGMULLER";"MEDICO PEDIATRA";"UMS SAMBAQUI PSF - CNPJ: 13792329000184"
"LUINE CRISTINA BARATTO";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAMBAQUI PSF - CNPJ: 13792329000184"
"MOHAMED ALI GAD NOSSEIR";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAMBAQUI PSF - CNPJ: 13792329000184"
"PAULO CESAR ZIMMERMANN FELCHNER";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SAMBAQUI PSF - CNPJ: 13792329000184"
"ANA ELISA WERNER JAKOBI";"MEDICO PEDIATRA";"UMS SANTA AMELIA - CNPJ: 13792329000184"
"ANGELA LEITE MENDES";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTA AMELIA - CNPJ: 13792329000184"
"CARLOS ALBERTO SILVA ALLE";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTA AMELIA - CNPJ: 13792329000184"
"CHRISTIANE AKEMI AKIYOSHI";"MEDICO CLINICO";"UMS SANTA AMELIA - CNPJ: 13792329000184"
"DEBORA CHRISTINA DE ALCANTARA LOPES";"MEDICO CLINICO";"UMS SANTA AMELIA - CNPJ: 13792329000184"
"DEBORA CHRISTINA DE ALCANTARA LOPES";"MEDICO CLINICO";"UMS SANTA AMELIA - CNPJ: 13792329000184"
"FLAVIA MACHADO COSTA SOUSA RIBEIRO";"MEDICO PSIQUIATRA";"UMS SANTA AMELIA - CNPJ: 13792329000184"
"JOAO PELISSARI";"MEDICO PEDIATRA";"UMS SANTA AMELIA - CNPJ: 13792329000184"
"MARCIA GUAGLIARDI GONCALVES DIAS";"MEDICO PEDIATRA";"UMS SANTA AMELIA - CNPJ: 13792329000184"
"NATALIA CARDOZO DE AZEREDO RIBEIRO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTA AMELIA - CNPJ: 13792329000184"
"ROBERTO LUCIO KROEFF";"MEDICO CLINICO";"UMS SANTA AMELIA - CNPJ: 13792329000184"
"SCHEILLA MATOS FERREIRA";"MEDICO PSIQUIATRA";"UMS SANTA AMELIA - CNPJ: 13792329000184"
"SONIA CRISTINA LUZ BARROS VENANCIO";"MEDICO PEDIATRA";"UMS SANTA AMELIA - CNPJ: 13792329000184"
"ANDRESSA KELI CORSATO CHIAMULERA";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTA CANDIDA - CNPJ: 13792329000184"
"CARLOS CESAR CUSMANICH";"MEDICO CLINICO";"UMS SANTA CANDIDA - CNPJ: 13792329000184"
"CLEONICE SCHONEBORN DE MORAES";"MEDICO PEDIATRA";"UMS SANTA CANDIDA - CNPJ: 13792329000184"
"CLEONICE SCHONEBORN DE MORAES";"MEDICO PEDIATRA";"UMS SANTA CANDIDA - CNPJ: 13792329000184"
"GRACIANE PENA MOGOLLON";"MEDICO CLINICO";"UMS SANTA CANDIDA - CNPJ: 13792329000184"
"GRACIANE PENA MOGOLLON";"MEDICO CLINICO";"UMS SANTA CANDIDA - CNPJ: 13792329000184"
"HELENA KUMAGAI YAMAGAMI";"MEDICO PEDIATRA";"UMS SANTA CANDIDA - CNPJ: 13792329000184"
"HELOISA NOGARA ORZA";"MEDICO CLINICO";"UMS SANTA CANDIDA - CNPJ: 13792329000184"
"JOSIANE REGINA TEIXEIRA";"MEDICO CLINICO";"UMS SANTA CANDIDA - CNPJ: 13792329000184"
"LARISSA ROSSATO CHRUN";"MEDICO CLINICO";"UMS SANTA CANDIDA - CNPJ: 13792329000184"
"LIANA ANTONIETA GEHR ALONSO";"MEDICO PEDIATRA";"UMS SANTA CANDIDA - CNPJ: 13792329000184"
"LUISELLA NARDONE XIMENES";"MEDICO CLINICO";"UMS SANTA CANDIDA - CNPJ: 13792329000184"
"LUISELLA NARDONE XIMENES";"MEDICO CLINICO";"UMS SANTA CANDIDA - CNPJ: 13792329000184"
"MARTA ABATEPAULO DE FARIA";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTA CANDIDA - CNPJ: 13792329000184"
"MILAGROS DE LOS ANGELES MAURO MAGRINI";"MEDICO GENERALISTA";"UMS SANTA CANDIDA - CNPJ: 13792329000184"
"SANDRA ALMEIDA VIANNA BONATTO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTA CANDIDA - CNPJ: 13792329000184"
"VALERIO WIERYSZKO";"MEDICO CLINICO";"UMS SANTA CANDIDA - CNPJ: 13792329000184"
"CARLOS CESAR CUSMANICH";"MEDICO CLINICO";"UMS SANTA EFIGENIA - CNPJ: 13792329000184"
"ECLEA GUSSO ULAF";"MEDICO CLINICO";"UMS SANTA EFIGENIA - CNPJ: 13792329000184"
"HAROLDO ISRAEL NUNES PINHEIRO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTA EFIGENIA - CNPJ: 13792329000184"
"HELOISA NOGARA ORZA";"MEDICO CLINICO";"UMS SANTA EFIGENIA - CNPJ: 13792329000184"
"HERBERTO JOSE CHONG NETO";"MEDICO PEDIATRA";"UMS SANTA EFIGENIA - CNPJ: 13792329000184"
"JOSIANE REGINA TEIXEIRA";"MEDICO CLINICO";"UMS SANTA EFIGENIA - CNPJ: 13792329000184"
"KALIL FAUAZ";"MEDICO CLINICO";"UMS SANTA EFIGENIA - CNPJ: 13792329000184"
"LIANA ANTONIETA GEHR ALONSO";"MEDICO PEDIATRA";"UMS SANTA EFIGENIA - CNPJ: 13792329000184"
"LIANA ANTONIETA GEHR ALONSO";"MEDICO PEDIATRA";"UMS SANTA EFIGENIA - CNPJ: 13792329000184"
"MARTA ABATEPAULO DE FARIA";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTA EFIGENIA - CNPJ: 13792329000184"
"TATIANA MENDONCA VINCENCI";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTA EFIGENIA - CNPJ: 13792329000184"
"VALERIO WIERYSZKO";"MEDICO CLINICO";"UMS SANTA EFIGENIA - CNPJ: 13792329000184"
"ALINE MATOS";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTA FELICIDADE - CNPJ: 13792329000184"
"CLAUDIA WEINGAERTNER PALM";"MEDICO CLINICO";"UMS SANTA FELICIDADE - CNPJ: 13792329000184"
"ELISANE IZABELA WLADIKA";"MEDICO PEDIATRA";"UMS SANTA FELICIDADE - CNPJ: 13792329000184"
"FERNANDA CARVALHO DE MATTOS";"MEDICO CLINICO";"UMS SANTA FELICIDADE - CNPJ: 13792329000184"
"FLAVIA MARTINS VIEIRA";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTA FELICIDADE - CNPJ: 13792329000184"
"GILSON TREVIZAN";"MEDICO CLINICO";"UMS SANTA FELICIDADE - CNPJ: 13792329000184"
"JOSE ROBERTO BODACHNE";"MEDICO PEDIATRA";"UMS SANTA FELICIDADE - CNPJ: 13792329000184"
"JOSE ROBERTO GARCIA LOPES";"MEDICO CLINICO";"UMS SANTA FELICIDADE - CNPJ: 13792329000184"
"MARCIA DA CONCEICAO VINHAS";"MEDICO CLINICO";"UMS SANTA FELICIDADE - CNPJ: 13792329000184"
"SHALI DIDAR HAMILKO AZAD";"MEDICO CLINICO";"UMS SANTA FELICIDADE - CNPJ: 13792329000184"
"ANGELA LEITE MENDES";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTA QUITERIA II - CNPJ: 13792329000184"
"CALINE POCKRANDT";"MEDICO CLINICO";"UMS SANTA QUITERIA II - CNPJ: 13792329000184"
"DEBORA CHRISTINA DE ALCANTARA LOPES";"MEDICO CLINICO";"UMS SANTA QUITERIA II - CNPJ: 13792329000184"
"DEBORA CHRISTINA DE ALCANTARA LOPES";"MEDICO CLINICO";"UMS SANTA QUITERIA II - CNPJ: 13792329000184"
"DENISE CLARA COATTI ROCHA";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTA QUITERIA II - CNPJ: 13792329000184"
"FLAVIA MACHADO COSTA SOUSA RIBEIRO";"MEDICO PSIQUIATRA";"UMS SANTA QUITERIA II - CNPJ: 13792329000184"
"JULIANA TEIXEIRA MARCHIORI";"MEDICO PEDIATRA";"UMS SANTA QUITERIA II - CNPJ: 13792329000184"
"LEONIDAS KRUK";"MEDICO CLINICO";"UMS SANTA QUITERIA II - CNPJ: 13792329000184"
"NATALIA CARDOZO DE AZEREDO RIBEIRO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTA QUITERIA II - CNPJ: 13792329000184"
"OSCAR FRANCISCO FUGANTI VILLANUEVA";"MEDICO CLINICO";"UMS SANTA QUITERIA II - CNPJ: 13792329000184"
"SCHEILLA MATOS FERREIRA";"MEDICO PSIQUIATRA";"UMS SANTA QUITERIA II - CNPJ: 13792329000184"
"SONIA CRISTINA LUZ BARROS VENANCIO";"MEDICO PEDIATRA";"UMS SANTA QUITERIA II - CNPJ: 13792329000184"
"SONIA REGINA PAES SOUZA MARTINS";"MEDICO CLINICO";"UMS SANTA QUITERIA II - CNPJ: 13792329000184"
"SUELY SHIGETOMI OKUYAMA";"MEDICO PEDIATRA";"UMS SANTA QUITERIA II - CNPJ: 13792329000184"
"VALERIA CRISTINA ROLIM PRESTES SUMNIENSKI";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTA QUITERIA II - CNPJ: 13792329000184"
"ANGELA LEITE MENDES";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTA QUITERIA PSF - CNPJ: 13792329000184"
"ARIADNE OSTASZEWSKI BASTOS";"MEDICO PEDIATRA";"UMS SANTA QUITERIA PSF - CNPJ: 13792329000184"
"DEBORA CHRISTINA DE ALCANTARA LOPES";"MEDICO CLINICO";"UMS SANTA QUITERIA PSF - CNPJ: 13792329000184"
"DEBORA CHRISTINA DE ALCANTARA LOPES";"MEDICO CLINICO";"UMS SANTA QUITERIA PSF - CNPJ: 13792329000184"
"FIRMINO CARLOS QUARENGHI";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SANTA QUITERIA PSF - CNPJ: 13792329000184"
"FLAVIA MACHADO COSTA SOUSA RIBEIRO";"MEDICO PSIQUIATRA";"UMS SANTA QUITERIA PSF - CNPJ: 13792329000184"
"GUILHERME GUISS MACIEL";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SANTA QUITERIA PSF - CNPJ: 13792329000184"
"LEONARDO DOS REIS GOULART";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SANTA QUITERIA PSF - CNPJ: 13792329000184"
"MARIA HELENA DA SILVA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SANTA QUITERIA PSF - CNPJ: 13792329000184"
"NATALIA CARDOZO DE AZEREDO RIBEIRO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTA QUITERIA PSF - CNPJ: 13792329000184"
"NEUSA MARIA YARED";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SANTA QUITERIA PSF - CNPJ: 13792329000184"
"PAULO ROBERTO CAMPAGNOLI DE OLIVEIRA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SANTA QUITERIA PSF - CNPJ: 13792329000184"
"PAULO ROBERTO CAMPAGNOLI DE OLIVEIRA";"MEDICO GENERALISTA";"UMS SANTA QUITERIA PSF - CNPJ: 13792329000184"
"SCHEILLA MATOS FERREIRA";"MEDICO PSIQUIATRA";"UMS SANTA QUITERIA PSF - CNPJ: 13792329000184"
"SONIA CRISTINA LUZ BARROS VENANCIO";"MEDICO PEDIATRA";"UMS SANTA QUITERIA PSF - CNPJ: 13792329000184"
"STELA MARIA BASTOS PELANDA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SANTA QUITERIA PSF - CNPJ: 13792329000184"
"ANA HELENA TROCHIMCZUK OLCHANOWSKA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SANTOS ANDRADE PSF - CNPJ: 13792329000184"
"CESAR ROGERIO RIBAS ROSSI";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTOS ANDRADE PSF - CNPJ: 13792329000184"
"CESAR ROGERIO RIBAS ROSSI";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SANTOS ANDRADE PSF - CNPJ: 13792329000184"
"CLAUDIA WEINGAERTNER PALM";"MEDICO CLINICO";"UMS SANTOS ANDRADE PSF - CNPJ: 13792329000184"
"CLAUDIO PINTO KUENZER";"MEDICO PEDIATRA";"UMS SANTOS ANDRADE PSF - CNPJ: 13792329000184"
"IEDA MARIA LEONEL";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SANTOS ANDRADE PSF - CNPJ: 13792329000184"
"JOAO GUILHERME FIORANI BORGIO";"MEDICO PSIQUIATRA";"UMS SANTOS ANDRADE PSF - CNPJ: 13792329000184"
"LARISSA TONON MIGUEL";"MEDICO PSIQUIATRA";"UMS SANTOS ANDRADE PSF - CNPJ: 13792329000184"
"MARCIA DA CONCEICAO VINHAS";"MEDICO CLINICO";"UMS SANTOS ANDRADE PSF - CNPJ: 13792329000184"
"MARIO BACHIM";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SANTOS ANDRADE PSF - CNPJ: 13792329000184"
"WAGNER ANGELO WEKERLIN";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SANTOS ANDRADE PSF - CNPJ: 13792329000184"
"ADEMIR MILTON BRANDALISE";"MEDICO CLINICO";"UMS SAO BRAZ - CNPJ: 13792329000184"
"ANDREA VIANNA CARVALHO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SAO BRAZ - CNPJ: 13792329000184"
"CLAUDIA WEINGAERTNER PALM";"MEDICO CLINICO";"UMS SAO BRAZ - CNPJ: 13792329000184"
"CLAUDIO PINTO KUENZER";"MEDICO PEDIATRA";"UMS SAO BRAZ - CNPJ: 13792329000184"
"EDUARDO MASSAYUKI NAGAI";"MEDICO CLINICO";"UMS SAO BRAZ - CNPJ: 13792329000184"
"FERNANDA TELES CECCON";"MEDICO CLINICO";"UMS SAO BRAZ - CNPJ: 13792329000184"
"LARISSA TONON MIGUEL";"MEDICO PSIQUIATRA";"UMS SAO BRAZ - CNPJ: 13792329000184"
"LARISSA TONON MIGUEL";"MEDICO PSIQUIATRA";"UMS SAO BRAZ - CNPJ: 13792329000184"
"MARCIA DA CONCEICAO VINHAS";"MEDICO CLINICO";"UMS SAO BRAZ - CNPJ: 13792329000184"
"MARCIA REGINA WONSTTRET";"MEDICO CLINICO";"UMS SAO BRAZ - CNPJ: 13792329000184"
"MARCO AURELIO MUSSE";"MEDICO PEDIATRA";"UMS SAO BRAZ - CNPJ: 13792329000184"
"SIRLENE YOSHIKO TAMURA";"MEDICO PEDIATRA";"UMS SAO BRAZ - CNPJ: 13792329000184"
"TALAL ZAKI";"MEDICO PEDIATRA";"UMS SAO BRAZ - CNPJ: 13792329000184"
"ALEXEI VOLACO";"MEDICO CLINICO";"UMS SAO DOMINGOS PSF - CNPJ: 13792329000184"
"ANA MARIA PONTES DE SOUZA BATISTA";"MEDICO PEDIATRA";"UMS SAO DOMINGOS PSF - CNPJ: 13792329000184"
"ANA PAULA JESUS DE OLIVEIRA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAO DOMINGOS PSF - CNPJ: 13792329000184"
"CAROLINA IGNEZ MAIER GUEDES";"MEDICO CLINICO";"UMS SAO DOMINGOS PSF - CNPJ: 13792329000184"
"CAROLINA IGNEZ MAIER GUEDES";"MEDICO CLINICO";"UMS SAO DOMINGOS PSF - CNPJ: 13792329000184"
"DAVID TILLE GAERTNER";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAO DOMINGOS PSF - CNPJ: 13792329000184"
"DIANA MARCELA RIANO TORRES";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAO DOMINGOS PSF - CNPJ: 13792329000184"
"EVANDRO LUIZ SILVA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAO DOMINGOS PSF - CNPJ: 13792329000184"
"FABIO AKIRA UESU";"MEDICO PSIQUIATRA";"UMS SAO DOMINGOS PSF - CNPJ: 13792329000184"
"JOAO GUILHERME FIORANI BORGIO";"MEDICO PSIQUIATRA";"UMS SAO DOMINGOS PSF - CNPJ: 13792329000184"
"LOURDES TEREZINHA PCHEBILSKI";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SAO DOMINGOS PSF - CNPJ: 13792329000184"
"MARIA JOSE UNDA GUEVARA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAO DOMINGOS PSF - CNPJ: 13792329000184"
"ALBANIR LAIER BORDIGNON";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SAO JOAO DEL REY PSF - CNPJ: 13792329000184"
"ANDREA LUCIA GRAZIOLI VALERIO";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAO JOAO DEL REY PSF - CNPJ: 13792329000184"
"ANDREA MONICA DVILEVICIUS";"MEDICO PSIQUIATRA";"UMS SAO JOAO DEL REY PSF - CNPJ: 13792329000184"
"ANDREA MONICA DVILEVICIUS";"MEDICO PSIQUIATRA";"UMS SAO JOAO DEL REY PSF - CNPJ: 13792329000184"
"ANDREA SAYURI YAMAGUCHI";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAO JOAO DEL REY PSF - CNPJ: 13792329000184"
"BRUNA VOLACO GONZALEZ DE CARVALHO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SAO JOAO DEL REY PSF - CNPJ: 13792329000184"
"CAMILA SANTOS OSIOWY";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAO JOAO DEL REY PSF - CNPJ: 13792329000184"
"CAROLINA PASSOS ROCHA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAO JOAO DEL REY PSF - CNPJ: 13792329000184"
"EDIMARA FAIT SEEGMULLER";"MEDICO PEDIATRA";"UMS SAO JOAO DEL REY PSF - CNPJ: 13792329000184"
"EDIMARA FAIT SEEGMULLER";"MEDICO PEDIATRA";"UMS SAO JOAO DEL REY PSF - CNPJ: 13792329000184"
"FABIANO MONTEMEZZO";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAO JOAO DEL REY PSF - CNPJ: 13792329000184"
"LUCIANO BURIGO DE SOUSA";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAO JOAO DEL REY PSF - CNPJ: 13792329000184"
"MARCIA APARECIDA VIANNA LOEWEN";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAO JOAO DEL REY PSF - CNPJ: 13792329000184"
"MARIA LUCIA PRETTO";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAO JOAO DEL REY PSF - CNPJ: 13792329000184"
"PAULO CESAR ZIMMERMANN FELCHNER";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SAO JOAO DEL REY PSF - CNPJ: 13792329000184"
"ANA REGINA BURGOS DO NASCIMENTO";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAO JOSE PSF - CNPJ: 13792329000184"
"BRAULIO AUGUSTO CORREA DE MELO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SAO JOSE PSF - CNPJ: 13792329000184"
"BRAULIO AUGUSTO CORREA DE MELO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SAO JOSE PSF - CNPJ: 13792329000184"
"FATIMA DE JESUS MOULIN";"MEDICO CLINICO";"UMS SAO JOSE PSF - CNPJ: 13792329000184"
"HAMILTON LIMA WAGNER";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAO JOSE PSF - CNPJ: 13792329000184"
"HAMILTON LIMA WAGNER";"MEDICO GENERALISTA";"UMS SAO JOSE PSF - CNPJ: 13792329000184"
"LARISSA CRISTIANE VAZ";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAO JOSE PSF - CNPJ: 13792329000184"
"LEANDRO TAMANINI JUNIOR";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAO JOSE PSF - CNPJ: 13792329000184"
"MARINA CORTES DEL GROSSI";"MEDICO PEDIATRA";"UMS SAO JOSE PSF - CNPJ: 13792329000184"
"PATRICIA EDUARDA BISELLI";"MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA";"UMS SAO JOSE PSF - CNPJ: 13792329000184"
"VANESSA CINI";"MEDICO CLINICO";"UMS SAO JOSE PSF - CNPJ: 13792329000184"
"ANDRE OBAYASHI";"MEDICO CLINICO";"UMS SAO MIGUEL - CNPJ: 13792329000184"
"ANDREIA CRISTINA ZARATE ELIAS";"MEDICO CLINICO";"UMS SAO MIGUEL - CNPJ: 13792329000184"
"BRAULIO AUGUSTO CORREA DE MELO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SAO MIGUEL - CNPJ: 13792329000184"
"BRAULIO AUGUSTO CORREA DE MELO";"MEDICO GINECOLOGISTA E OBSTETRA";"UMS SAO MIGUEL - CNPJ: 13792329000184"
"CECILIA SIMON SCUICIATO";"MEDICO PEDIATRA";"UMS SAO MIGUEL - CNPJ: 13792329000184"
